load_size,workload_type,ops_per_sec
10000,write-heavy,18552.87
10000,read-heavy,34423.40
10000,balanced,37037.03
14444,write-heavy,20116.99
14444,read-heavy,35885.71
14444,balanced,37712.79
18888,write-heavy,22013.98
18888,read-heavy,33253.52
18888,balanced,38625.76
23333,write-heavy,21154.12
23333,read-heavy,35406.67
23333,balanced,39281.14
27777,write-heavy,21768.80
27777,read-heavy,36863.96
27777,balanced,38579.16
32222,write-heavy,19587.84
32222,read-heavy,33425.31
32222,balanced,37952.88
36666,write-heavy,20975.97
36666,read-heavy,37936.88
36666,balanced,36375.00
41111,write-heavy,20942.94
41111,read-heavy,37942.77
41111,balanced,33864.08
45555,write-heavy,20282.72
45555,read-heavy,38475.50
45555,balanced,37555.64
50000,write-heavy,22583.55
50000,read-heavy,38461.53
50000,balanced,26680.89
